시도명,탄소배출및흡수총계,숙박여행재방문의향,국내숙박여행횟수,1인평균국내숙박여행일수,1인평균국내숙박여행지출액,연간총매출액(호텔)
서울특별시,48469343,74.8,3271,0.2,13000,2.86E+12
부산광역시,18405997,77.6,7555,0.4,37000,6.30E+11
대구광역시,13302340,74.6,2079,0.1,6000,1.59E+11
인천광역시,20825412,76.3,2524,0.1,7000,3.77E+11
광주광역시,8700022,76,1136,0.1,4000,9666000000
대전광역시,8830891,74.2,2114,0.1,6000,69026000000
울산광역시,14845975,77.6,1575,0.1,4000,76153000000
세종특별자치시,2563461,70.3,562,0,1000,0
경기도,95844841,76.4,9539,0.5,27000,3.89E+11
강원특별자치도,-19217770,77.5,25420,1.3,113000,2.36E+11
충청북도,9292598,76.4,5282,0.3,16000,34260000000
충청남도,25311986,77.3,10720,0.5,34000,39764000000
전북특별자치도,8294516,79.6,7774,0.4,24000,1.06E+11
전라남도,9499867,79.7,12165,0.6,48000,1.66E+11
경상북도,425670,76.2,12143,0.6,45000,1.72E+11
경상남도,11901979,79,12714,0.6,42000,1.28E+11
제주특별자치도,3773818,78.2,11721,0.8,149000,6.98E+11
